EXISTING_INFO_ID,PROGRAM_SITE_ID,SITE_TYPE,PROGRAM_NAME,BASIN_NAME,GSA_NAME,GSP_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,URL_SITE,LOCATION_DESCRIPTION,ADDITIONAL_COMMENTS,COUNTY,CREATED_DT,UPDATED_DT
700,AGL020004136-WELL 1,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020004136&assigned_name=WELL+1&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
714,AGL020001593-AG_WELL4,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020001593&assigned_name=AG%5FWELL4&store_num=,,,Monterey,01/21/2020 14:10,01/21/2020 14:10
721,AGL020002102-DOM_BERTEL,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020002102&assigned_name=DOM%5FBERTEL&store_num=,,,Monterey,01/21/2020 14:10,01/21/2020 14:10
727,AGL020014885-MERIDIAN_2,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020014885&assigned_name=MERIDIAN%5F2&store_num=,,,Monterey,01/21/2020 14:10,01/21/2020 14:10
741,AGL020026802-DM WELL,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020026802&assigned_name=DM+WELL&store_num=,,,Monterey,01/21/2020 14:10,01/21/2020 14:10
754,"345351119323103",Groundwater Wells,United States Geological Survey National Water Information System,3-013 Cuyama Valley,Cuyama Basin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Water Quality",,https://nwis.waterdata.usgs.gov/nwis/inventory/?site_no=345351119323103&agency_cd=USGS,,Opti ID 317,Santa Barbara,01/22/2020 11:27,01/22/2020 11:27
767,"350106119504901",Groundwater Wells,United States Geological Survey Groundwater Levels for the Nation,3-013 Cuyama Valley,Cuyama Basin GSA,,SGMA,"Groundwater Levels,Groundwater Storage",,"https://nwis.waterdata.usgs.gov/nwis/gwlevels/?site_no=350106119504901&agency_cd=USGS&amp;",,Opti ID 591,Santa Barbara,01/22/2020 11:27,01/22/2020 11:27
769,"345540119410901",Groundwater Wells,United States Geological Survey Water Quality Samples for the Nation,3-013 Cuyama Valley,Cuyama Basin GSA,,SGMA Representative,Water Quality,,https://nwis.waterdata.usgs.gov/nwis/qwdata/?site_no=345540119410901,,Opti ID 73,Santa Barbara,01/22/2020 11:27,01/22/2020 11:27
772,"344740119224801",Groundwater Wells,United States Geological Survey Water Quality Samples for the Nation,3-013 Cuyama Valley,Cuyama Basin GSA,,SGMA Representative,Water Quality,,https://nwis.waterdata.usgs.gov/nwis/qwdata/?site_no=344740119224801,,Opti ID 204,Ventura,01/22/2020 11:27,01/22/2020 11:27
777,VCST,Continuous GPS,UNAVCO,3-013 Cuyama Valley,Cuyama Basin GSA,,SGMA Representative,Land Subsidence,,https://www.unavco.org/data/gps-gnss/data-access-methods/dai1/ps.php?sid=1281&parent_link=Permanent&pview=original,,,Santa Barbara,01/22/2020 11:27,01/22/2020 11:27
783,2000681-002,Groundwater Wells,DDW,5-022.05 Chowchilla,Chowchilla Water District GSA,,SGMA Representative,Water Quality,,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/EDTlibrary.html,,,Madera,01/23/2020 10:59,01/23/2020 10:59
788,2400216-001,Groundwater Wells,DDW,5-022.05 Chowchilla,County of Madera GSA - Chowchilla,,SGMA Representative,Water Quality,,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/EDTlibrary.html,,,Madera,01/23/2020 10:59,01/23/2020 10:59
792,1010025-010,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,South Kings GSA,Kings_SouthKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,CITY OF PARLIER,,Fresno,01/23/2020 14:23,01/23/2020 14:23
794,1010006-004,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,South Kings GSA,Kings_SouthKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,CITY OF FOWLER,,Fresno,01/23/2020 14:23,01/23/2020 14:23
796,1010006-006,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,South Kings GSA,Kings_SouthKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,CITY OF FOWLER,,Fresno,01/23/2020 14:23,01/23/2020 14:23
818,1010029-015,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,South Kings GSA,Kings_SouthKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,CITY OF SANGER,,Fresno,01/23/2020 14:23,01/23/2020 14:23
821,1010019-013,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,South Kings GSA,Kings_SouthKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,"KINGSBURG, CITY OF",,Fresno,01/23/2020 14:23,01/23/2020 14:23
827,1010024-033,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601010024,,Fresno,01/23/2020 15:08,01/23/2020 15:08
838,1010024-021,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601010024,,Fresno,01/23/2020 15:08,01/23/2020 15:08
839,1000413-001,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601000413,,Fresno,01/23/2020 15:08,01/23/2020 15:08
847,1000350-001,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601000350,,Fresno,01/23/2020 15:08,01/23/2020 15:08
852,1010024-022,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601010024,,Fresno,01/23/2020 15:08,01/23/2020 15:08
856,1000566-003,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601000566,,Fresno,01/23/2020 15:08,01/23/2020 15:08
857,1010024-034,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601010024,,Fresno,01/23/2020 15:08,01/23/2020 15:08
867,1000504-001,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601000504,,Fresno,01/23/2020 15:08,01/23/2020 15:08
896,1000576-002,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601000576,,Fresno,01/23/2020 15:08,01/23/2020 15:08
899,1010024-014,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601010024,,Fresno,01/23/2020 15:08,01/23/2020 15:08
921,1000192-001,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601000192,,Fresno,01/23/2020 15:08,01/23/2020 15:08
930,1000187-001,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601000187,,Fresno,01/23/2020 15:08,01/23/2020 15:08
931,1000565-001,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601000565,,Fresno,01/23/2020 15:08,01/23/2020 15:08
933,1000196-012,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/Default.asp,W0601000196,,Fresno,01/23/2020 15:08,01/23/2020 15:08
941,2010002-032,Groundwater Wells,DDW,5-022.06 Madera,County of Madera GSA - Madera,Madera Subbasin Joint GSP,SGMA Representative,"Water Quality,Water Quality",,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/EDTlibrary.html,,,Madera,01/23/2020 16:32,01/23/2020 16:32
947,ESJ12,Groundwater Wells,ILRP,5-022.06 Madera,County of Madera GSA - Madera,Madera Subbasin Joint GSP,SGMA Representative,"Water Quality,Water Quality",,https://www.waterboards.ca.gov/centralvalley/water_issues/irrigated_lands/,,,Madera,01/23/2020 16:32,01/23/2020 16:32
963,W0604000790-001,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.06 Paso Robles Area,County of San Luis Obispo GSA - Paso Robles Area,,SGMA Representative,"Water Quality,Water Quality,Water Quality",Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0604000790&assigned_name=4000790-001&store_num=,,,San Luis Obispo,01/23/2020 16:51,01/23/2020 16:51
965,W0604000803-002,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.06 Paso Robles Area,County of San Luis Obispo GSA - Paso Robles Area,,SGMA Representative,"Water Quality,Water Quality,Water Quality",PR,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0604000803&assigned_name=4000803-002&store_num=,,,San Luis Obispo,01/23/2020 16:51,01/23/2020 16:51
977,W0604010007-019,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.06 Paso Robles Area,County of San Luis Obispo GSA - Paso Robles Area,,SGMA Representative,"Water Quality,Water Quality,Water Quality",PR,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0604010007&assigned_name=4010007-019&store_num=,,,San Luis Obispo,01/23/2020 16:51,01/23/2020 16:51
994,AGL020001605,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.06 Paso Robles Area,County of San Luis Obispo GSA - Paso Robles Area,,SGMA Representative,"Water Quality,Water Quality,Water Quality",Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020001605&assigned_name=WELL+1&store_num=,,,San Luis Obispo,01/23/2020 16:51,01/23/2020 16:51
1002,AGL020007471,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.06 Paso Robles Area,County of San Luis Obispo GSA - Paso Robles Area,,SGMA Representative,"Water Quality,Water Quality,Water Quality",Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020007471&assigned_name=AG&store_num=,,,San Luis Obispo,01/23/2020 16:51,01/23/2020 16:51
1005,AGL020007807,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.06 Paso Robles Area,County of San Luis Obispo GSA - Paso Robles Area,,SGMA Representative,"Water Quality,Water Quality,Water Quality",Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020007807&assigned_name=IRRIGATION&store_num=,,,San Luis Obispo,01/23/2020 16:51,01/23/2020 16:51
1006,AGL020007815,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.06 Paso Robles Area,County of San Luis Obispo GSA - Paso Robles Area,,SGMA Representative,"Water Quality,Water Quality,Water Quality",Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020007815&assigned_name=AW&store_num=,,,San Luis Obispo,01/23/2020 16:51,01/23/2020 16:51
1007,AGL020007848,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.06 Paso Robles Area,County of San Luis Obispo GSA - Paso Robles Area,,SGMA Representative,"Water Quality,Water Quality,Water Quality",Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020007848&assigned_name=AW&store_num=,,,San Luis Obispo,01/23/2020 16:51,01/23/2020 16:51
1020,PT 121,Surveying/Benchmark Sites,SJRRP,5-022.07 Delta-Mendota,New Stone Water District GSA,Madera_NewStone_Adopted,SGMA Representative,Land Subsidence,,http://www.restoresjr.net/science/subsidence-monitoring/,375 USE,,Madera,01/24/2020 15:40,01/24/2020 15:40
1027,PT 1009,Surveying/Benchmark Sites,SJRRP,5-022.07 Delta-Mendota,New Stone Water District GSA,Madera_NewStone_Adopted,SGMA Representative,Land Subsidence,,http://www.restoresjr.net/science/subsidence-monitoring/,RBF 1009,,Madera,01/24/2020 15:40,01/24/2020 15:40
1028,PT 1053R,Surveying/Benchmark Sites,SJRRP,5-022.05 Chowchilla,New Stone Water District GSA,Madera_NewStone_Adopted,SGMA Representative,Land Subsidence,,http://www.restoresjr.net/science/subsidence-monitoring/,RBF 1053 RESET,,Madera,01/24/2020 15:40,01/24/2020 15:40
1041,1010034-005,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,James GSA,Kings_James_Adopted,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,M3,,Fresno,01/24/2020 16:21,01/24/2020 16:21
1067,1000053-002,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,,,Fresno,01/27/2020 14:08,01/27/2020 14:08
1075,1010020-004,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,,,Fresno,01/27/2020 14:08,01/27/2020 14:08
1082,PT2448,Surveying/Benchmark Sites,SJRRP,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,Unknown,http://www.restoresjr.net/science/subsidence-monitoring/,,,Fresno,01/27/2020 14:08,01/27/2020 14:08
1093,1000362-003,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,Unknown,GOLDEN STATE VINTNERS,Fresno,01/27/2020 14:35,01/27/2020 14:35
1096,1000467-001,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,Unknown,USA WASTE OF CALIFORNIA,Fresno,01/27/2020 14:35,01/27/2020 14:35
1107,1010007-147,Groundwater Wells,SWRCB GAMA,5-022.08 Kings,North Kings GSA,Kings_NorthKings_Adopted,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,Unknown,CITY OF FRESNO,Fresno,01/27/2020 14:35,01/27/2020 14:35
1129,5410020-008,Groundwater Wells,GAMA,5-022.11 Kaweah,East Kaweah GSA,East Kaweah,SGMA Representative,Water Quality,Assumed Unconfined,https://www.waterboards.ca.gov/gama/,Behind The Runway Cafe at the end of Aviation Dr,,Tulare,01/27/2020 16:25,01/27/2020 16:25
1143,5403043-002,Groundwater Wells,GAMA,5-022.08 Kings,East Kaweah GSA,East Kaweah,SGMA Representative,Water Quality,Assumed Unconfined,https://www.waterboards.ca.gov/gama/,"700ft E of Rd 140, rd to access is 450ft S of Hwy 201",,Tulare,01/27/2020 16:25,01/27/2020 16:25
1157,1610005-009,Groundwater Wells,SWRCB GAMA,5-022.12 Tulare Lake,South Fork Kings GSA,,SGMA Representative,Water Quality,Above E Clay,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,WELL N-5 - RAW,,Kings,01/28/2020 13:42,01/28/2020 13:42
1161,1610005-020,Groundwater Wells,SWRCB GAMA,5-022.12 Tulare Lake,South Fork Kings GSA,,SGMA Representative,Water Quality,Below E Clay,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,WELL N-6 - RAW,,Kings,01/28/2020 13:42,01/28/2020 13:42
1170,1610001-009,Groundwater Wells,SWRCB GAMA,5-022.12 Tulare Lake,Mid-Kings River GSA,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,WELL 01 - AFTER_AS/H2S/COLOR_STBY2019,,Kings,01/28/2020 16:14,01/28/2020 16:14
1174,1610003-033,Groundwater Wells,SWRCB GAMA,5-022.12 Tulare Lake,Mid-Kings River GSA,,SGMA Representative,Water Quality,Below E Clay,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,WELL 41 - RAW,,Kings,01/28/2020 16:14,01/28/2020 16:14
1176,1610003-036,Groundwater Wells,SWRCB GAMA,5-022.12 Tulare Lake,Mid-Kings River GSA,,SGMA Representative,Water Quality,Below E Clay,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,WELL 42 - RAW,,Kings,01/28/2020 16:14,01/28/2020 16:14
1179,1610003-039,Groundwater Wells,SWRCB GAMA,5-022.12 Tulare Lake,Mid-Kings River GSA,,SGMA Representative,Water Quality,Below E Clay,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/,WELL 45 - RAW,,Kings,01/28/2020 16:14,01/28/2020 16:14
1211,5410016-043,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Single Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410016-043&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1221,5410016-057,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Single Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410016-057&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1222,5400713-001,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Lower Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5400713-001&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1244,5410016-046,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Upper and Lower Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410016-046&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1249,5410016-158,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Unknown Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410016-158&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1256,5410015-065,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Lower Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410015-065&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1266,5403074-004,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Unknown Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5403074-004&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1270,5410015-048,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Lower Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410015-048&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1281,5410016-048,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Upper and Lower Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410016-048&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1288,5400795-001,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Unknown Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5400795-001&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1291,5400951-003,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Unknown Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5400951-003&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1294,5400679-001,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Mid-Kaweah GSA,Mid-Kaweah GSA,SGMA Representative,Water Quality,Upper and Lower Aquifer System,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5400679-001&store_num=,,,Tulare,01/31/2020 15:44,01/31/2020 15:44
1297,5400710-001,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,Water Quality,Single,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5400710-001&store_num=,,,Tulare,01/31/2020 16:19,01/31/2020 16:19
1326,5410004-006,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,Water Quality,Single,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410004-006&store_num=,,,Tulare,01/31/2020 16:19,01/31/2020 16:19
1329,5403141-001,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,Water Quality,Single,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5403141-001&store_num=,,,Tulare,01/31/2020 16:19,01/31/2020 16:19
1335,5410019-008,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,Water Quality,Single,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410019-008&store_num=,,,Tulare,01/31/2020 16:19,01/31/2020 16:19
1337,1600013-001,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,Water Quality,Unknown,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=1600013-001&store_num=,,,Kings,01/31/2020 16:19,01/31/2020 16:19
1341,5400631-002,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,Water Quality,Single,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5400631-002&store_num=,,,Tulare,01/31/2020 16:19,01/31/2020 16:19
1350,5402038-001,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,Water Quality,Single,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5402038-001&store_num=,,,Tulare,01/31/2020 16:19,01/31/2020 16:19
1374,5410020-009,Groundwater Wells,Division of Drinking Water,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,Water Quality,Single,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=&assigned_name=5410020-009&store_num=,,,Tulare,01/31/2020 16:19,01/31/2020 16:19
