"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","State or Federal Agency ID","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Source Agency","Latitude","Longitude","County","State","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional Representative District","Congressional Representative","Section, Township, or Range Location","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Purpose","Purposes","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Lock Width (Ft)","Years Modified","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL"
"Centralia Coal Mine Dam No. 3a","Widco Pond No. 3a","","WA00289","","WA00289","TRANSALTA CENTRALIA MINING LLC","Public Utility","Public Utility","LE23-0289","0","WA IRR. DEVEL. CO.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.746491","-122.844571","Lewis","Washington","NONE","0","TR-HANAFORD CREEK","Congressional District 03, Washington","Jaime Herrera Beutler (R)","S32 T15 R1W","","","","","Mine Safety and Health Administration","Mine Safety and Health Administration","","","Tailings","Tailings","Earth","Earth","Earth","Rock;Soil","12","12","18","18","Less than 25 feet","560","0","1970","1970-1979","79","79","60","30","0.31","98","","0","0","0","0","1989O;1994O","","2021-04-09","2001-07-03","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Mountain Lake Dam","","","WA00279","","WA00279","WA PARKS","State","State","SJ02-0279","0","F.W.  MCELMAN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.649913","-122.812498","San Juan","Washington","OLGA","4","CASCADE CREEK","Congressional District 02, Washington","Rick Larsen (D)","S34 T37 R1W","","","","","","","","","Recreation","Recreation;Water Supply","Rockfill","Rockfill;Earth;Gravity","Concrete","Soil","16","16","17","17","Less than 25 feet","172","0","1948","1940-1949","3010","3010","2870","180","2.27","200","","0","0","0","0","","","2021-04-09","2019-04-23","5","High","Satisfactory","2019-04-23","Yes","2020-09-16","https://damsafety.org/washington"
"Wanapum","Wanapum (Res)","","WA00085","","WA00085","Grant PUD","Public Utility","Public Utility","02114-02-01","1","Harza Engineering Corporation","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.873404","-119.97119","Kittitas","Washington","Richland, WA                                      ","76","Columbia River                ","Congressional District 08, Washington","Kim Schrier (D)","T16N, R23E, SEC. 17","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric;Flood Risk Reduction","Gravity","Rockfill;Gravity;Concrete","Earth","Soil","93","80","205.5","205.5","Greater than 100 feet","8639","5795000","1965","1960-1969","796000","796000","590000","14590","95000","1400000","Controlled","832","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2020-12-30","https://damsafety.org/washington"
"Centralia Coal Mine Dam No. 3d","Widco Dam No. 3d","","WA00580","","WA00580","TRANSALTA CENTRALIA MINING LLC","Public Utility","Public Utility","LE23-0580","0","WA IRR. & DEVEL. CO.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.72290517","-122.8213136","Lewis","Washington","CENTRALIA","10","TR-PACKWOOD CREEK","Congressional District 03, Washington","Jaime Herrera Beutler (R)","S4 T14 R1W","","","","","Mine Safety and Health Administration","Mine Safety and Health Administration","","","Tailings","Tailings","Earth","Earth","Earth","Rock","285","285","285","285","Greater than 100 feet","4000","0","1988","1980-1989","15000","15000","7500","200","0.5","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Yale Saddle Dam","","","WA00148","S001","WA00148S001","PacifiCorp","Private","Private","02071-01-02","2","","","No","No","","No","No","No","Federal Energy Regulatory Commission","45.97","-122.3403","Cowlitz","Washington","Woodland, WA                                      ","24","Lewis River                   ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","T6N,R4E,S29,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Fish and Wildlife Pond;Recreation;Hydroelectric","Earth","Arch;Earth","Earth","Soil","40","26","40","40","25-50 feet","1600","","1953","1950-1959","402000","402000","402000","3783","592","","None","","","","","","","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2021-02-19","https://damsafety.org/washington"
"Snoqualmie Falls","","","WA00295","","WA00295","","Private","Private","02493-01-01","1","Charles H. Baker","","No","No","","No","No","No","Federal Energy Regulatory Commission","47.541447","-121.837358","King","Washington","Fall City, WA                                     ","5","Snoqualmie River              ","Congressional District 08, Washington","Kim Schrier (D)","T24N,R8E,S30,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric","","Gravity;Concrete","Concrete","Rock","19","0","0","19","Less than 25 feet","253","0","1898","Before 1900","566","566","566","102.60000000000001","400","10000","Uncontrolled","253","","","","","","2021-06-14","2017-05-11","3","Low","Not Available","","Not Required","2020-12-23","https://damsafety.org/washington"
"Nada Dam ","","","WA00664","","WA00664","US FISH AND WILDLIFE SERVICE","Federal","Federal","WA00664","0","","","No","No","","No","No","No","Fish and Wildlife Service","47.485831999999995","-120.748055","Chelan","Washington","Leavenworth, WA","5","UNNAMED TRIBUT. TO SNOW CREEK","Congressional District 08, Washington","Kim Schrier (D)","S9 T23 R17E","Fish and Wildlife Service","","Fish and Wildlife Service","Fish and Wildlife Service","Fish and Wildlife Service","Fish and Wildlife Service","Fish and Wildlife Service","","Water Supply","Water Supply","Buttress","Buttress;Concrete","","Rock","9","9","9","9","Less than 25 feet","24","27","1939","1930-1939","55","55","","","1.59","308","Uncontrolled","21","0","0","0","2009O","Slide (sluice gate)","2021-05-21","2018-09-21","5","Low","Satisfactory","2018-09-21","Not Required","","https://damsafety.org/washington"
"Yale","","","WA00148","","WA00148","PacifiCorp","Private","Private","02071-01-01","2","","","No","No","","No","No","No","Federal Energy Regulatory Commission","45.964800000000004","-122.3339","Clark","Washington","Woodland, WA                                      ","24","Lewis River                   ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","T6N,R4E,S32,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Fish and Wildlife Pond;Recreation;Hydroelectric","Earth","Earth;Gravity","","","323","309","323","323","Greater than 100 feet","1500","","1953","1950-1959","402000","402000","402000","3783","592","170000","Controlled","120","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2021-02-19","https://damsafety.org/washington"
"Fresh Water Pond","Wa State Id - Je 17-2049","","WA02049","","WA02049","","Private","Private","45-02816-01","0","","","No","No","","No","No","No","Mine Safety and Health Administration","47.861388999999996","-122.74972199999999","Jefferson","Washington","Squamish Harbor","2.5","","Congressional District 06, Washington","Derek Kilmer (D)","","","","","","Mine Safety and Health Administration","Mine Safety and Health Administration","","","Water Supply","Water Supply","","Earth","","","30","","","30","25-50 feet","650","","","Undetermined","39","39","","","","","","","","","","","","2021-05-03","","","Significant","Not Available","","No","","https://damsafety.org/washington"
"Alder","","","WA00257","","WA00257","City of Tacoma","Public Utility","Public Utility","01862-01-01","1","","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.801035999999996","-122.310163","Thurston","Washington","Yelm, WA                                          ","18","Nisqually River               ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","T15N,R4E,S9,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric","Concrete","Arch;Gravity;Concrete","","Rock","285","290","330","330","Greater than 100 feet","1487","420000","1945","1940-1949","241195","241195","214500","3065","286","80000","Controlled","128","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2021-02-05","https://damsafety.org/washington"
"Frozen Lake Dam","","","WA00096","","WA00096","DOI NPS","Federal","Federal","","0","","","No","No","","No","No","No","National Park Service","46.91833","-121.665","Pierce","Washington","TACOMA, WA","70","TR-WHITE RIVER","Congressional District 08, Washington","Kim Schrier (D)","","National Park Service","National Park Service","","","National Park Service","National Park Service","National Park Service","","Water Supply","Water Supply","Earth","Earth","","","14","","","14","Less than 25 feet","","0","1930","1930-1939","76","76","0","","","","","0","0","0","0","","","2018-11-02","2015-12-31","0","High","Not Available","","Yes","2016-04-15","https://damsafety.org/washington"
"Chelan","Lake Chelan (Res)","","WA00004","","WA00004","PUD #1 of Chelan County, WA","Public Utility","Public Utility","00637-01-01","1","Washington Water Power Company","","No","No","","No","No","No","Federal Energy Regulatory Commission","47.834700000000005","-120.0133","Chelan","Washington","Chelan Falls (unincorporated)                     ","2","Chelan River                  ","Congressional District 08, Washington","Kim Schrier (D)","T27N,R22E,S13,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Hydroelectric;Flood Risk Reduction","Gravity","Gravity","Concrete","Rock;Soil","33","57","66","66","51-100 feet","490","0","1927","1920-1929","676100","","676100","32980","952","39100","Controlled","160","","","","","Tainter (radial);Slide (sluice gate)","2021-06-14","2020-09-30","1","Significant","Not Available","","Yes","2020-12-30","https://damsafety.org/washington"
"Priest Rapids","","","WA00088","","WA00088","","Not Listed","Not Listed","02114-01-01","1","Harza Engineering Company","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.646111","-119.9058","Grant","Washington","Richland, WA                                      ","57","Columbia River                ","Congressional District 04, Washington","Dan Newhouse (R)","R23E, T13N, SEC. 2","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric;Flood Risk Reduction","","Rockfill;Gravity;Concrete","Earth","Rock;Soil","90","78","187","187","Greater than 100 feet","10103","3300000","1961","1960-1969","191000","191000","191000","7580","95500","1334992","Controlled","1152","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2020-12-30","https://damsafety.org/washington"
"Skookumchuck","Skookumchuck","","WA00153","","WA00153","Skookumchuck Dam LLC","Private","Private","04441-01-01","1","","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.784763999999996","-122.717747","Thurston","Washington","Bucoda, WA                                        ","10","Skookumchuck River            ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","T15N,R1E,S17,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Fish and Wildlife Pond;Hydroelectric;Water Supply","Earth","Earth","Earth","Soil","160","140","160","160","Greater than 100 feet","1340","2250000","1970","1970-1979","35000","","35000","540","62","28000","Uncontrolled","130","","","","","","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2021-02-18","https://damsafety.org/washington"
"Merwin","","","WA00149","","WA00149","PacifiCorp","Private","Private","00935-01-01","2","","","No","No","","No","No","No","Federal Energy Regulatory Commission","45.9572","-122.5562","Clark","Washington","Woodland, WA                                      ","11","Lewis River                   ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","T6N,R2E,S33 & 34,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Fish and Wildlife Pond;Recreation;Hydroelectric","Arch","Arch;Gravity;Concrete","Concrete","Rock","313","230","313","313","Greater than 100 feet","1250","","1931","1930-1939","422000","422000","422000","3921","726","120000","Controlled","166","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2021-02-19","https://damsafety.org/washington"
"Mossyrock","","","WA00151","","WA00151","City of Tacoma","Public Utility","Public Utility","02016-01-01","2","","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.534600000000005","-122.42500000000001","Lewis","Washington","Toledo, WA                                        ","23","Cowlitz River                 ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","T12N,R3E,S10,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric;Flood Risk Reduction","Arch","Arch;Earth;Gravity","Concrete","Rock","366","528.5","606","606","Greater than 100 feet","1750","1270000","1968","1960-1969","1900000","1900000","1700000","","1042","280000","Controlled","170","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2021-02-05","https://damsafety.org/washington"
"Zosel Dam","Osoyoos Lake Control Dam","","WA00556","","WA00556","WA ECY","State","State","OK49-0556","0","CORPS OF ENGINEERS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.93349378","-119.4198001","Okanogan","Washington","WITHIN OROVILLE CITY LIMITS","0","OKANOGAN RIVER","Congressional District 04, Washington","Dan Newhouse (R)","S27 T40 R27E","","","","","","","","","Irrigation","Irrigation;Recreation","Gravity","Gravity","Concrete","Rock;Soil","8","8","40","40","25-50 feet","321","0","1986","1980-1989","55000","55000","26000","5800","3150","2500","","0","0","0","0","","","2021-04-09","2019-10-30","5","High","Satisfactory","2019-10-30","Yes","2019-11-22","https://damsafety.org/washington"
"Upriver Dam Forebay","","","WA00074","S001","WA00074S001","City of Spokane","Local Government","Local Government","03074-01-02","2","","","No","No","","No","No","No","Federal Energy Regulatory Commission","47.682911999999995","-117.331137","Spokane","Washington","Spokane, WA                                       ","0","Spokane River                 ","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","T25N,R43E,S11,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric","Earth","Rockfill;Earth;Concrete","","","30","21","30","30","25-50 feet","375","","1987","1980-1989","3000","","3000","50","4057","","None","","","","","","","2021-06-14","2020-09-30","1","Significant","Not Available","","Yes","2020-01-13","https://damsafety.org/washington"
"Cowlitz Falls","","","WA00581","","WA00581","PUD #1 of Lewis County, WA","Public Utility","Public Utility","02833-01-01","1","Bechtel","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.466300000000004","-122.1096","Lewis","Washington","None                                              ","0","Cowlitz River                 ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","T11N, R6E, S6","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Fish and Wildlife Pond;Recreation;Hydroelectric","Concrete","Gravity;Concrete","Concrete","Rock","120","120","145","145","Greater than 100 feet","700","120000","1994","1990-1999","11000","","11000","700","1000","360000","Controlled","224","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","Significant","Not Available","","Yes","2021-02-23","https://damsafety.org/washington"
"Barrier Dam","Mayfield Fish Barrier Dam","","WA00555","","WA00555","City of Tacoma","Public Utility","Public Utility","02016-05-01","1","","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.506800000000005","-122.60220000000001","Lewis","Washington","Toledo, WA                                        ","13","Cowlitz River                 ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","S24, T12N, R2E","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Fish and Wildlife Pond","Fish and Wildlife Pond","Concrete","Earth;Concrete","Concrete","Rock","12","12","16","16","Less than 25 feet","718","","1968","1960-1969","600","600","455","23","1402","68350","Uncontrolled","318","","","","","","2021-06-14","2019-07-30","1","Low","Not Available","","Yes","2021-02-05","https://damsafety.org/washington"
"Upriver Dam","","","WA00074","","WA00074","City of Spokane","Local Government","Local Government","03074-01-01","2","","","No","No","","No","No","No","Federal Energy Regulatory Commission","47.686282","-117.328532","Spokane","Washington","Spokane, WA                                       ","0","Spokane River                 ","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","T25N,R43E,S11,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric","Concrete","Earth;Gravity;Concrete","","Soil","38","36","38","38","25-50 feet","725","0","1937","1930-1939","3000","","3000","50","4057","58000","Controlled","208","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2020-08-19","https://damsafety.org/washington"
"Swift No. 1","","","WA00147","","WA00147","PacifiCorp","Private","Private","02111-01-01","1","","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.062898","-122.197868","Skamania","Washington","Cougar, WA                                        ","5","Lewis River                   ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","T7N,R5E,S28,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric;Flood Risk Reduction","Earth","Earth","Earth","Soil","412","400","412","412","Greater than 100 feet","2100","","1958","1950-1959","755500","755500","755500","4620","477","184300","Controlled","100","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2021-02-19","https://damsafety.org/washington"
"Mayfield","","","WA00152","","WA00152","City of Tacoma","Public Utility","Public Utility","02016-02-01","2","Harza Engineering Co.","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.5033","-122.5883","Lewis","Washington","Toledo, WA                                        ","15","Cowlitz River                 ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","T12N,R2E,S20 & S29,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric","Arch","Arch;Gravity","Concrete","Rock","200","230","250","250","Greater than 100 feet","850","110000","1963","1960-1969","184194","184194","133718","2250","1392","313000","Controlled","205","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2021-02-05","https://damsafety.org/washington"
"Sinlahekin Dam No. 3","Conners Lake","","WA00005","","WA00005","WA DFW","State","State","OK49-0005","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.750876999999996","-119.659356","Okanogan","Washington","LOOMIS","5","SINLAHEKIN CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S35 T38 R25E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Rock;Soil","22","22","24","24","Less than 25 feet","285","0","1950","1950-1959","593","593","304","211","70","","","0","0","0","0","2001O","","2021-04-09","2016-10-19","5","High","Satisfactory","2017-10-19","Yes","2016-07-01","https://damsafety.org/washington"
"La Grande","","","WA00253","","WA00253","City of Tacoma","Public Utility","Public Utility","01862-02-01","1","","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.822824999999995","-122.304277","Pierce","Washington","Yelm, WA                                          ","16","Nisqually River               ","Congressional District 03, Washington","Kim Schrier (D)","T16N,R4E,S33,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Hydroelectric","Concrete","Arch;Gravity;Concrete","Concrete","Rock","192","210","217","217","Greater than 100 feet","710","85000","1944","1940-1949","7200","7200","2700","450","292","88000","Controlled","128","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2021-02-05","https://damsafety.org/washington"
"Sinlahekin Dam No. 1","Forde Lake","","WA00007","","WA00007","WA DFW","State","State","OK49-0007","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.737429","-119.66973300000001","Okanogan","Washington","LOOMIS","6","SINLAHEKIN CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S3 T37 R25E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Rock;Soil","12","12","14","14","Less than 25 feet","180","0","1949","1940-1949","333","333","175","83","64","","","0","0","0","0","2001O","","2021-04-09","2016-10-19","5","High","Satisfactory","2016-10-19","Yes","2016-07-01","https://damsafety.org/washington"
"Quincy Sludge Storage Lagoon System","","","WA02069","","WA02069","QUINCY CITY","Local Government","Local Government","GR41-2069","","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.2153584","-119.8443469","Grant","Washington","","","","Congressional District 04, Washington","","","","","","","","","","","Other","Other","Earth","Earth","","","15","15","15","15","Less than 25 feet","1370","","1986","1980-1989","0","","","","","","","","","","","","","2021-04-09","2019-08-19","5","Significant","Fair","2019-08-19","No","","https://damsafety.org/washington"
"Marysville Sewage Lagoon","","","WA01233","","WA01233","MARYSVILLE CITY","Local Government","Local Government","SN07-1233","0","HAMMOND, COLLIER & ISSAC","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.04367","-122.17231100000001","Snohomish","Washington","MARYSVILLE","0","TR-EBEY SLOUGH-OFFSTREAM","Congressional District 02, Washington","Rick Larsen (D)","S33 T30 R5E","","","","","","","","","Other","Other","Earth","Earth","Earth","Soil","4","4","11","11","Less than 25 feet","2590","0","1959","1950-1959","144","144","144","90","0.14","","","0","0","0","0","","","2021-04-09","2001-09-03","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Albion Sewage Treatment Lagoons","","","WA01962","","WA01962","ALBION TOWN PUBLIC WORKS","Local Government","Local Government","WT34-1962","","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.78761038","-117.2595541","Whitman","Washington","","","","Congressional District 05, Washington","","","","","","","","","","","Other","Other","Earth","Earth","","","8","8","8","8","Less than 25 feet","","","1972","1970-1979","50","50","30","","","","","","","","","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Longview Sewage Lagoon No. 3","","","WA00509","","WA00509","LONGVIEW CITY","Local Government","Local Government","CZ25-0509","0","GIBBS & OLSON INC.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.179399","-123.02033","Cowlitz","Washington","LONGVIEW","0","TR-COAL CREEK SLOUGH-OFFSTREAM","Congressional District 03, Washington","Jaime Herrera Beutler (R)","S14 T8 R3W","","","","","","","","","Other","Other","Earth","Earth","Earth","Soil","4","4","10","10","Less than 25 feet","2000","0","1987","1980-1989","75","75","30","30","0.07","8","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"High Woodlands Stormwater Detention Dam","","","WA00613","","WA00613","KIRKLAND CITY","Local Government","Local Government","KI08-0613","0","KING CO. PUBLIC WORKS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.73059225","-122.1943033","King","Washington","NONE","0","JUANITA CREEK","Congressional District 01, Washington","Suzan K. DelBene (D)","S20 T26 R5E","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth","Earth","Soil","22","22","27","27","25-50 feet","95","0","1991","1990-1999","29","29","0","","1","50","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Squires Lake Dam","","","WA00550","","WA00550","BELLINGHAM CITY PUBLIC WORKS","Local Government","Local Government","WH03-0550","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.646671","-122.356071","Whatcom","Washington","NONE","0","TR-FRIDAY CREEK","Congressional District 02, Washington","Rick Larsen (D)","S31 T36 R4E","","","","","","","","","Irrigation","Irrigation;Recreation","Buttress","Buttress;Earth","Earth","Soil","15","15","15","15","Less than 25 feet","50","0","1960","1960-1969","52","52","44","7.7","0.41000000000000003","45","","0","0","0","0","1996O","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Stanwood Wastewater Pond","","","WA01951","","WA01951","STANWOOD CITY PUBLIC WORKS","Local Government","Local Government","SN05-1951","0","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.23612588","-122.3608484","Snohomish","Washington","NONE","0","OFFSTREAM","Congressional District 02, Washington","Rick Larsen (D)","S25 T32 R3E","","","","","","","","","Other","Other","Earth","Earth","Earth","Soil","8","8","8","8","Less than 25 feet","3650","0","1980","1980-1989","80","80","60","35","0.05","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Longview Sewage Lagoon No. 4","","","WA00510","","WA00510","LONGVIEW CITY","Local Government","Local Government","CZ25-0510","0","GIBBS & OLSON INC.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.179406","-123.01758699999999","Cowlitz","Washington","LONGVIEW","0","TR-COAL CREEK SLOUGH-OFFSTREAM","Congressional District 03, Washington","Jaime Herrera Beutler (R)","S14 T8 R3W","","","","","","","","","Other","Other","Earth","Earth","Earth","Soil","4","4","12","12","Less than 25 feet","2000","0","1987","1980-1989","60","60","30","30","0.06","8","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Morse Lake Dam","Crib Dam","","WA00256","","WA00256","SEATTLE CITY","Local Government","Local Government","KI08-0256","0","CITY OF SEATTLE","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.409603999999995","-121.725455","King","Washington","CEDAR FALLS","3","CEDAR RIVER","Congressional District 08, Washington","Kim Schrier (D)","S12 T22 R8E","","","","","","","","","Water Supply","Water Supply","Gravity","Gravity","Concrete","Soil","18","18","18","18","Less than 25 feet","108","0","1904","1900-1909","75000","75000","75000","1682","81.4","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Selah Aerated Lagoon","","","WA01478","","WA01478","SELAH CITY PUBLIC WORKS DEPT","Local Government","Local Government","YA369-1478","0","JUMP, HUIBREGTSE, STOUDER","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.649249","-120.521502","Yakima","Washington","SELAH","0","TR-YAKIMA RIVER-OFFSTREAM","Congressional District 04, Washington","Dan Newhouse (R)","S1 T13 R18E","","","","","","","","","Other","Other","Earth","Earth","Concrete","Soil","12","12","15","15","Less than 25 feet","1130","0","1985","1980-1989","20","20","18","18","0.01","","","0","0","0","0","","","2021-04-09","2016-05-24","5","High","Fair","2016-05-24","No","","https://damsafety.org/washington"
"Metaline Falls Wastewater Lagoon No. 3","","","WA01823","","WA01823","METALINE FALLS TOWN","Local Government","Local Government","PO62-1823","0","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.864278","-117.364676","Pend Oreille","Washington","METALINE FALLS","1","OFFSTREAM - PEND OREILLE","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S22 T39 R43E","","","","","","","","","Other","Other","Earth","Earth","Plastic","Soil","12","12","12","12","Less than 25 feet","610","0","1964","1960-1969","12","10","12","2","","1","","0","0","0","0","","","2021-04-09","2019-07-16","5","Significant","Poor","2019-07-16","No","","https://damsafety.org/washington"
