provider_id,nhdpv2_COMID,nhdpv2_REACHCODE,nhdpv2_REACH_measure,Type_HUC12,Type_Gages,Type_TE,Type_NID,Type_WBIn,Type_WBOut,Type_Conf,Dam Name,Other Names,Former Names,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,State or Federal Agency ID,Number of Associated Structures,Designer Names,Non-Federal Dam on Federal Property,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Source Agency,Latitude,Longitude,County,State,City,Distance to Nearest City (Miles),River or Stream Name,Congressional Representative District,Congressional Representative,"Section, Township, or Range Location",Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Primary Purpose,Purposes,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks,Lock Width (Ft),Years Modified,Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL
21200,13027567,04080203000217,0,040802030409,NA,NA,MI00644,NA,NA,NA,Pool One B Dam,NA,NA,NA,MI00644,DOI FWS,Federal,Federal,NA,0,NA,NA,Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,Michigan,43.35333333,-83.99666667,Saginaw,Michigan,Saginaw,5,Ferguson Bayou,"Congressional District 05, Michigan",Daniel T. Kildee (D),"S, T11N, R04E",NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,Earth,Earth,NA,NA,13,13,13,13,Less than 25 feet,9900,0,1958,1950-1959,350,350,270,67,0,2600,Uncontrolled,200,0,0,0,NA,NA,2021-04-07,1981-01-29,5,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/michigan
21224,13016115,04080204000096,0,040802040410,NA,NA,MI00060,NA,NA,2045417,Hamilton Dam,NA,NA,NA,MI00060,City of Flint,Local Government,Local Government,NA,0,NA,NA,Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,Michigan,43.02,-83.69,Genesee,Michigan,Flint,0,Flint River,"Congressional District 05, Michigan",Daniel T. Kildee (D),"S7, T07N, R07E",NA,NA,NA,NA,NA,NA,NA,NA,Water Supply,Water Supply,Gravity,Gravity,NA,NA,22,22,22,22,Less than 25 feet,274,0,1920,1920-1929,185,185,116,7,749,25000,Controlled,198,0,0,0,NA,NA,2021-04-07,2015-04-29,3,High,Fair,2015-04-29,Yes,2011-12-22,https://damsafety.org/michigan
21253,13016657,04080204001869,0,040802040403,04147500,NA,MI00064,NA,NA,NA,Holloway Dam,Richfield Storage Dam,NA,NA,MI00064,City of Flint,Local Government,Local Government,NA,0,NA,NA,Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,Michigan,43.1199197,-83.49330274,Genesee,Michigan,Genesee,8,Flint River,"Congressional District 05, Michigan",Daniel T. Kildee (D),"S11, T08N, R08E",NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Gravity,Earth;Gravity,NA,NA,38,27,38,38,25-50 feet,3350,0,1954,1950-1959,29900,29900,15350,1400,526,36200,Controlled,240,0,0,0,NA,NA,2021-04-07,2018-08-14,3,High,Satisfactory,2018-08-14,Yes,2015-05-31,https://damsafety.org/michigan
21308,13176065,04090005001905,0,040900050404,NA,NA,MI00557,NA,NA,NA,French Landing,NA,NA,NA,MI00557,NA,Not Listed,Not Listed,09951-01-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,42.214400000000005,-83.44080000000001,Wayne,Michigan,New Boston,3,Huron River,"Congressional District 12, Michigan",Debbie Dingell (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Recreation;Hydroelectric,NA,Earth;Gravity,Earth,Soil,38,34,38,38,25-50 feet,890,NA,1924,1920-1929,25000,25000,17780,1270,833,24278,None,247,NA,NA,NA,NA,Drum,2021-06-14,2020-09-30,1,High,Not Available,NA,Yes,2019-12-26,https://damsafety.org/michigan
21311,13173841,04090005002022,0,040900050101,NA,NA,MI00265,NA,NA,NA,Pontiac Lake Dam,Pontiac Lake Dam,NA,NA,MI00265,Oakland County WRC,Private,Private,NA,0,NA,NA,Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,Michigan,42.66166667,-83.45166667,Oakland,Michigan,Oxbow,1,Huron River,"Congressional District 11, Michigan",Haley Stevens (D),"S13, T03N, R08E",NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,Earth,Earth;Gravity,NA,NA,21,21,21,21,Less than 25 feet,5750,0,1920,1920-1929,7400,7400,2900,640,20.7,596,Uncontrolled,12,0,0,0,NA,NA,2021-04-07,2019-11-05,3,High,Fair,2019-11-05,Yes,2019-09-30,https://damsafety.org/michigan
21344,13230176,04100002000155,0,041000020204,NA,NA,MI00594,NA,NA,2059165,Lake Adrian Dam,Wolf Creek Dam Or Bent Oak Dam,NA,NA,MI00594,City of Adrian,Local Government,Local Government,NA,0,NA,NA,Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,Michigan,41.91053192,-84.03752863,Lenawee,Michigan,Adrian,0,Wolf Creek,"Congressional District 07, Michigan",Tim Walberg (R),"S35, T06S, R03E",NA,NA,NA,NA,NA,NA,NA,NA,Water Supply,Water Supply,Gravity,Earth;Gravity,NA,NA,30,29.2,30,30,25-50 feet,620,0,1942,1940-1949,1500,1500,908,86,73.7,2500,Controlled,70,0,0,0,NA,NA,2021-04-07,2021-01-25,3,High,Satisfactory,2021-01-25,Yes,2018-03-30,https://damsafety.org/michigan
21398,15677445,04100003001332,0,041000030105,NA,NA,MI00413,NA,NA,NA,Merry Lake Dam,Merry Lake Level Control Structure,NA,NA,MI00413,Hillsdale County Drain Commissioner,Private,Private,NA,0,NA,NA,Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,Michigan,41.72,-84.575,Hillsdale,Michigan,Pioneer Ohio,5,Silver Creek,"Congressional District 07, Michigan",Tim Walberg (R),"S5, T09S, R02W",NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth,NA,NA,20.5,19,20.5,20.5,Less than 25 feet,450,0,1966,1960-1969,3375,3375,1800,100,27,1400,Uncontrolled,60,0,0,0,NA,NA,2021-04-07,2019-10-24,4,Significant,Satisfactory,2019-10-24,Yes,2019-11-30,https://damsafety.org/michigan
21680,15604366,04100012000712,0,041000120603,NA,NA,OH00225,NA,NA,2069722,Realty Investment Property Dam,NA,NA,NA,OH00225,REALTY INVESTMENT PROPERTIES,Private,Private,NA,0,NA,NA,Yes,Yes,DEPARTMENT OF NATURAL RESOURCES,Yes,Yes,Yes,Ohio,41.23472222,-82.64861111,Huron,Ohio,MILAN,6.8,EAST BRANCH HURON RIVER,"Congressional District 04, Ohio",Jim Jordan (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth,NA,NA,15.6,NA,NA,15.6,Less than 25 feet,990,21343,1968,1960-1969,184,184,84.4,23.6,0.21,8,NA,0,0,0,0,NA,NA,2021-04-08,2016-11-08,5,Low,Satisfactory,2016-11-08,Yes,2020-06-23,https://damsafety.org/ohio
21682,15596257,04110001000033,0,041100010506,04200430,NA,OH02761,NA,NA,2071178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21730,15585822,04110002001491,0,041100020101,NA,NA,OH00755,NA,NA,NA,East Branch Reservoir Dam,NA,NA,NA,OH00755,CITY OF AKRON,Local Government,Local Government,NA,0,"F.A. BARBOUR, CONSULTING ENGINEER, BOSTON, MASS.",NA,Yes,Yes,DEPARTMENT OF NATURAL RESOURCES,Yes,Yes,Yes,Ohio,41.50361111,-81.09388889,Geauga,Ohio,BURTON STATION,1.1,EAST BRANCH CUYAHOGA RIVER,"Congressional District 14, Ohio",David P. Joyce (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Supply,Water Supply,Earth,Earth,NA,NA,34,NA,NA,34,25-50 feet,1800,115000,1939,1930-1939,9650,9650,4600,395,18.6,13350,NA,0,0,0,0,NA,NA,2021-04-08,2017-03-22,5,High,Fair,2017-03-22,Yes,2020-06-23,https://damsafety.org/ohio
21731,15588776,04110002001521,0,041100020302,NA,NA,OH00665,NA,NA,NA,Mogadore Reservoir Dam,NA,NA,NA,OH00665,CITY OF AKRON,Local Government,Local Government,NA,0,F.A. BARBOUR CONSULTING ENGINEERS,NA,Yes,Yes,DEPARTMENT OF NATURAL RESOURCES,Yes,Yes,Yes,Ohio,41.05777778,-81.38055556,Portage,Ohio,SPRINGFIELD,7.4,LITTLE CUYAHOGA RIVER,"Congressional District 16, Ohio",Anthony Gonzalez (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth,NA,NA,36,NA,NA,36,25-50 feet,640,48000,1938,1930-1939,21000,21000,7000,1401,13.2,3679,NA,0,0,0,0,NA,NA,2021-04-08,2018-06-20,5,High,Poor,2018-06-20,Yes,2020-06-23,https://damsafety.org/ohio
21748,9846611,04110004000028,0,041100040501,NA,NA,OH00401,NA,NA,NA,Lake Beaumont Dam,Lake Beaumont,NA,NA,OH00401,BOY SCOUTS OF AMERICA,Private,Private,NA,0,USDA NRCS,NA,No,No,NA,No,No,No,Ohio,41.679784,-80.87997299999999,Ashtabula,Ohio,MECHANICSVILLE,5,TRIB GRAND RIVER,"Congressional District 14, Ohio",David P. Joyce (R),NA,NA,NA,Natural Resources Conservation Service;Natural Resources Conservation Service,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth,Earth,Soil,27,27,NA,27,25-50 feet,300,8630,1965,1960-1969,60,60,60,9,0.51,NA,Uncontrolled,20,0,0,0,NA,Uncontrolled,2021-05-24,NA,0,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/ohio
21784,15582225,04120102000054,0,041201020109,NA,NA,NY00704,NA,NA,NA,Springville Dam,NA,NA,NA,NY00704,ERIE COUNTY DEPARTMENT OF PUBLIC WORKS,Local Government,Local Government,019-0565,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,42.48083333,-78.7,Erie,New York,Gowanda Village,10,CATTARAUGUS CREEK,"Congressional District 23, New York",Tom Reed (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth;Concrete,NA,NA,40,NA,NA,40,25-50 feet,338,NA,1922,1920-1929,1170,1170,52,22,280,23192,Uncontrolled,182,NA,NA,NA,NA,NA,2021-03-12,2019-06-21,2,High,Fair,2019-06-28,Yes,2019-08-02,https://damsafety.org/new-york
21852,15560629,04130001000156,0,041300010403,NA,NA,NY10427,NA,NA,NA,Shelby Center Dam,NA,NA,NA,NY10427,William R Keppler,Private,Private,022-0160,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,43.19,-78.38611111,Orleans,New York,Shelby,NA,OAK ORCHARD CREEK,"Congressional District 27, New York",Chris Collins (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,Masonry,Masonry;Concrete,NA,NA,6,NA,NA,6,Less than 25 feet,150,NA,1870,Before 1900,10,10,10,5,NA,NA,Controlled,150,NA,NA,NA,NA,NA,2021-03-12,2020-03-03,4,Significant,Not Rated,NA,No,NA,https://damsafety.org/new-york
21860,15561183,04130001001401,0,041300010407,NA,NA,NY00485,NA,NA,NA,Oak Orchard Creek Dam,Waterport Hydro,NA,NA,NY00485,"Erie Boulevard Hydropower, LP/Brookfield Renewable",Private,Private,027-0040,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,43.32666667,-78.24,Orleans,New York,Waterport Station,0.3,OAK ORCHARD CREEK,"Congressional District 27, New York",Chris Collins (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Hydroelectric,Concrete,Concrete,NA,NA,90,NA,NA,90,51-100 feet,760,NA,1917,1910-1919,10050,10050,8884,335,216,6300,None,275,NA,NA,NA,NA,NA,2021-03-12,2019-04-30,2,High,Satisfactory,2019-06-04,Yes,2020-12-30,https://damsafety.org/new-york
21862,15548993,04130002000012,0,041300021004,NA,NA,NY00869,NA,NA,NA,Silver Lake Dam,NA,NA,NA,NY00869,VILLAGE OF PERRY,Local Government,Local Government,030-0423,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,42.71527778,-78.01,Wyoming,New York,Perry,NA,SILVER LAKE OUTLET,"Congressional District 27, New York",Chris Collins (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation;Water Supply,Other,Other,NA,NA,15,NA,NA,15,Less than 25 feet,120,NA,1982,1980-1989,3345,3345,2830,761,15.8,34,Controlled,25,NA,NA,NA,NA,NA,2021-03-12,2017-10-27,2,Significant,Not Rated,NA,Yes,2020-10-01,https://damsafety.org/new-york
21971,21975021,04140201000005,0,041402011610,04237496,NA,NY00792,NA,NA,NA,Lock 24 Dam Erie Canal,Baldwinsville,NA,NA,NY00792,New York State Canal Corporation,State,State,072-0230,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,43.15694444,-76.33361111,Onondaga,New York,Baldwinsville,NA,SENECA RIVER,"Congressional District 24, New York",John Katko (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Navigation;Hydroelectric,Masonry,Masonry,NA,NA,21,NA,NA,21,Less than 25 feet,325,NA,1908,1900-1909,35000,35000,34100,313,3266,23274,Uncontrolled,275,NA,NA,NA,NA,NA,2021-03-12,2019-06-06,2,High,Poor,2019-06-12,Yes,2020-01-31,https://damsafety.org/new-york
21973,21975267,04140201000050,0,041402010504,NA,NA,NY00955,NA,NA,2084964,Dam At Lock E 27,NA,NA,NA,NY00955,New York State Canal Corporation,State,State,057-4384,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,43.06222222,-76.9975,Wayne,New York,Lyons,NA,ERIE CANAL CLYDE RIVER,"Congressional District 24, New York",John Katko (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Flood Risk Reduction,Navigation;Hydroelectric;Flood Risk Reduction,Concrete,Concrete,NA,NA,23,NA,NA,23,Less than 25 feet,169,NA,1910,1910-1919,1250,1250,1250,82,316,NA,Uncontrolled,85,NA,NA,NA,NA,NA,2021-03-12,2013-09-10,NA,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/new-york
22013,21975995,04140201003277,0,041402010103,NA,NA,NY01213,NA,NA,2085574,Lock 29 Dam Barge Canal,NA,NA,NA,NY01213,New York State Canal Corporation,State,State,045-4821,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,43.06388889,-77.25055556,Wayne,New York,Palmyra,1,BARGE CANAL,"Congressional District 24, New York",John Katko (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Navigation;Hydroelectric,Concrete,Concrete,NA,NA,23,NA,NA,23,Less than 25 feet,69,NA,1912,1910-1919,1050,1050,1050,70,NA,1000,Uncontrolled,55,NA,NA,NA,NA,NA,2021-03-12,2016-06-29,NA,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/new-york
22049,22024222,04140202000062,0,041402020703,NA,NA,NY11910,NA,NA,NA,Chittenango Creek Dam,NA,NA,NA,NY11910,New York State Canal Corporation,State,State,092-0421,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,43.055,-75.87166667,Madison,New York,Chittenango,NA,CHITTENANGO CREEK,"Congressional District 22, New York",Anthony Brindisi (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Navigation;Hydroelectric,Masonry,Masonry,NA,NA,10,NA,NA,10,Less than 25 feet,137,NA,1850,Before 1900,109,109,22,2,NA,NA,None,137,NA,NA,NA,NA,NA,2021-03-12,1972-05-03,NA,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/new-york
22080,21972840,04140203000017,7.40008,041402011611,04247055,NA,NY00773,NA,NA,NA,Phoenix Lock & Dam No. 1,NA,NA,NA,NY00773,New York State Canal Corporation,State,State,04113-01-01,1,NA,NA,No,Yes,NA,No,Yes,No,Federal Energy Regulatory Commission,43.228100000000005,-76.3013,Oswego,New York,Phoenix,0,Oswego River,"Congressional District 24, New York",John Katko (R),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Navigation;Hydroelectric,Concrete,Gravity;Concrete,Concrete,Rock,11,NA,NA,11,Less than 25 feet,1014,NA,1914,1910-1919,19750,19750,19750,1109,4956,62000,Controlled,834,NA,NA,NA,NA,Tainter (radial);Slide (sluice gate),2021-06-14,2019-05-15,1,Significant,Not Available,NA,Yes,2020-12-01,https://damsafety.org/new-york
22082,21972746,04140203000132,0,041402030204,04249000,NA,NY00891,NA,NA,NA,City of Oswego Dam,NA,NA,NA,NY00891,CITY OF OSWEGO,Local Government,Local Government,062-2329,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,43.45277778,-76.50694444,Oswego,New York,Oswego,NA,OSWEGO RIVER,"Congressional District 24, New York",John Katko (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Hydroelectric,Concrete,Concrete,NA,NA,21,NA,NA,21,Less than 25 feet,104,NA,1956,1950-1959,92,NA,92,6,0.6,NA,None,NA,NA,NA,NA,NA,NA,2021-03-12,2000-06-21,NA,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/new-york
22082,21972746,04140203000132,0,041402030204,04249000,NA,NY00398,NA,NA,NA,Varick Lock & Dam 7,Varick Dam,NA,NA,NY00398,New York State Canal Corporation,State,State,02474-03-01,1,NA,NA,No,Yes,NA,No,Yes,No,Federal Energy Regulatory Commission,43.4468,-76.50150000000001,Oswego,New York,Oswego,1,Oswego River,"Congressional District 24, New York",John Katko (R),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Navigation;Hydroelectric,Masonry,Masonry;Gravity,Concrete,Rock,14,NA,NA,14,Less than 25 feet,736,NA,1926,1920-1929,210,210,210,32,5097,18000,Uncontrolled,736,NA,NA,NA,NA,NA,2021-06-14,2019-06-24,1,Significant,Not Available,NA,Yes,2018-08-17,https://damsafety.org/new-york
22108,15517520,04150101000406,0,041501010202,NA,NA,NY00561,NA,NA,2091853,Snow Bird Lake Dam,Kincaid Dam,NA,NA,NY00561,SNOWBIRD LAKE ASSOCIATION,Private,Private,127-3769,0,USDA NRCS,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,43.455000000000005,-75.14833333,Oneida,New York,Forestport Station,2,LITTLE WOODHULL CREEK,"Congressional District 22, New York",Anthony Brindisi (R),NA,NA,NA,Natural Resources Conservation Service,NA,NA,NA,NA,NA,Recreation,Recreation,Concrete,Earth;Concrete,NA,NA,18,NA,NA,18,Less than 25 feet,165,NA,1967,1960-1969,331,331,239,47,25,NA,Uncontrolled,60,NA,NA,NA,NA,NA,2021-05-24,2010-09-13,NA,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/new-york
22125,15514652,04150101002956,0,041501011101,NA,NA,NY00306,NA,NA,NA,Eagle,Beaver Lake Dam,NA,NA,NY00306,"Erie Boulevard Hydropower, L.P.",Private,Private,02645-03-01,1,NA,NA,No,Yes,NA,No,Yes,No,Federal Energy Regulatory Commission,43.9018,-75.1948,Lewis,New York,Belfort,9,Beaver River,"Congressional District 21, New York",Elise M. Stefanik (R),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Hydroelectric,Concrete,Gravity;Concrete,Concrete,Rock,22,NA,NA,22,Less than 25 feet,365,NA,1915,1910-1919,668,668,668,138,224,7400,Controlled,185,NA,NA,NA,NA,Slide (sluice gate),2021-06-14,2018-06-25,3,Low,Not Available,NA,Yes,2017-06-15,https://damsafety.org/new-york
22132,15504940,04150102000358,0,041501020302,NA,NA,NY01595,NA,NA,NA,Stone Mills Dam 2,Stone Mills Pond,NA,NA,NY01595,NYS DEC,State,State,088-4965,0,NA,NA,Yes,Yes,NYS DEC,Yes,Yes,Yes,New York,44.09416667,-75.95833333,Jefferson,New York,Limerick,7,PERCH RIVER,"Congressional District 21, New York",Elise M. Stefanik (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,Earth,Earth,NA,NA,11,NA,NA,11,Less than 25 feet,2800,NA,1989,1980-1989,4770,4770,531,210,10.2,NA,Controlled,38,NA,NA,NA,NA,NA,2021-03-12,1996-07-29,NA,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/new-york
22156,15457062,04150306001383,0,041503060205,NA,NA,NY00200,NA,NA,NA,Allens Falls,NA,NA,NA,NY00200,"Erie Boulevard Hydropower, L.P.",Private,Private,10461-02-01,1,NA,NA,No,Yes,NA,No,Yes,No,Federal Energy Regulatory Commission,44.636700000000005,-74.8426,St. Lawrence,New York,West Stockholm,6,West Branch St. Regis River,"Congressional District 21, New York",Elise M. Stefanik (R),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Hydroelectric,Concrete,Gravity;Concrete,Concrete,Rock,37,NA,NA,37,25-50 feet,766,NA,1991,1990-1999,1780,1780,1780,132,200,29205,Uncontrolled,556,NA,NA,NA,NA,Slide (sluice gate);Other Controlled,2021-06-14,2020-09-30,1,High,Not Available,NA,Yes,2021-01-05,https://damsafety.org/new-york
22186,1777616,04010201000021,7.45183,NA,04024000,NA,MN83018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22187,1771982,04010201000108,0,NA,04018750,NA,MN00094,NA,NA,NA,St. Louis River,Oglebay-Norton,NA,NA,MN00094,OGLEBAY NORTON CO,Private,Private,NA,0,OGLEBAY NORTON CO.,NA,Yes,Yes,MNDNR EWR,Yes,Yes,Yes,Minnesota,47.37208,-92.57602,St. Louis,Minnesota,FORBES,0,ST. LOUIS RIVER,"Congressional District 08, Minnesota",Pete Stauber (R),S36 T057N R18W,NA,NA,NA,NA,NA,NA,NA,NA,Water Supply,Water Supply,Other,Gravity;Other,Unlisted/Unknown,Unlisted/Unknown,19,NA,28,28,25-50 feet,126,0,1963,1960-1969,2000,2000,600,NA,715.5,26000,Controlled,0,0,0,0,NA,NA,2021-03-24,2009-10-27,8,Low,Satisfactory,2009-10-27,Not Required,NA,https://damsafety.org/minnesota
22204,1812927,04010302000204,0,NA,04029990,NA,MI00196,NA,NA,NA,Saxon Falls,NA,NA,NA,MI00196,Northern States Power Co,Public Utility,Public Utility,02610-01-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,46.5392,-90.3745,Gogebic,Michigan,None,0,Montreal River,"Congressional District 01, Michigan",Jack Bergman (R),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Recreation;Hydroelectric,Gravity,Earth;Gravity,Concrete,Rock,35,NA,NA,35,25-50 feet,510,NA,1912,1910-1919,550,550,550,69,262,9500,Controlled,152,NA,NA,NA,NA,Tainter (radial),2021-06-14,2018-07-17,3,Low,Not Available,NA,Not Required,2019-12-16,https://damsafety.org/michigan
22211,11930208,04020104000097,0,NA,04041500,NA,MI83037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22227,12173792,04030101000105,0,NA,04085427,NA,WI00273,NA,NA,NA,Rapids,Manitowoc Rapids,NA,NA,WI00273,"Bertler, Ray",Private,Private,269.0,NA,NA,NA,Yes,Yes,WIDNR,Yes,Yes,Yes,Wisconsin,44.0946807,-87.7047283,Manitowoc,Wisconsin,MANITOWOC RAPIDS,0,MANITOWOC,"Congressional District 06, Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Gravity,Rockfill;Earth;Gravity,NA,NA,16,7,16,16,Less than 25 feet,400,NA,1915,1910-1919,150,150,45,17,545,9141,Controlled,NA,NA,NA,NA,NA,NA,2021-03-22,NA,3,Significant,Not Rated,NA,No,NA,https://damsafety.org/wisconsin
22243,6832421,04030107000010,23.86765,NA,04062500,NA,MI00172,NA,NA,NA,Hemlock Falls,NA,NA,NA,MI00172,Wisconsin Electric Power Company,Public Utility,Public Utility,02074-01-01,1,Mead & Hunt,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,46.1312,-88.2252,Iron,Michigan,Iron Mountain,25,Michigamme River,"Congressional District 01, Michigan",Jack Bergman (R),T43N R31W SEC7,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Recreation;Hydroelectric,Concrete,Gravity;Concrete,NA,NA,34,30.1,45,45,25-50 feet,409,NA,1953,1950-1959,410,NA,410,75,665,16000,Controlled,201,NA,NA,NA,NA,Tainter (radial),2021-06-14,2019-06-20,3,Low,Not Available,NA,Yes,2020-12-05,https://damsafety.org/michigan
22260,11959934,04030110000797,0,NA,04058190,NA,MI00612,NA,NA,NA,Schweitzer Dam,NA,NA,NA,MI00612,Empire Iron Mining Prtnp,Private,Private,NA,0,NA,NA,Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,Michigan,46.41333333,-87.64666667,Marquette,Michigan,Gwinn,20,Schweitzer Creek,"Congressional District 01, Michigan",Jack Bergman (R),"S2, T46N, R27W",NA,NA,NA,NA,Mine Safety and Health Administration,Mine Safety and Health Administration,NA,NA,Water Supply,Water Supply,Concrete,Concrete,NA,NA,54,54,54,54,51-100 feet,570,0,1962,1960-1969,9000,9000,5500,255,25,11700,Uncontrolled,112,0,0,0,NA,NA,2021-04-07,2017-11-14,4,Significant,Satisfactory,2017-11-14,Yes,2015-01-08,https://damsafety.org/michigan
